"","CHAR:1","CHAR:2","CHAR:3","CHAR:4","CHAR:5","CHAR:6","CHAR:7","CHAR:8","CHAR:9","CHAR:10","CHAR:11","CHAR:12","CHAR:13","CHAR:14","CHAR:15","CHAR:16","CHAR:17","CHAR:18","CHAR:19","CHAR:20","CHAR:21","CHAR:22","CHAR:23","CHAR:24","CHAR:25","CHAR:26","CHAR:27","CHAR:28","CHAR:29","CHAR:30","CHAR:31","CHAR:32","CHAR:33","CHAR:34","CHAR:35","CHAR:36","CHAR:37","CHAR:38","CHAR:39","CHAR:40","CHAR:41","CHAR:42","CHAR:43","CHAR:44","CHAR:45","CHAR:46","CHAR:47","CHAR:48","CHAR:49","CHAR:50","CHAR:51","CHAR:52","CHAR:53","CHAR:54","CHAR:55","CHAR:56","CHAR:57","CHAR:58","CHAR:59","CHAR:60","CHAR:61","CHAR:62","CHAR:63","CHAR:64","CHAR:65","CHAR:66","CHAR:67","CHAR:68","CHAR:69","CHAR:70","CHAR:71","CHAR:72","CHAR:73","CHAR:74","CHAR:75","CHAR:76","CHAR:77","CHAR:78","CHAR:79","CHAR:80","CHAR:81","CHAR:82","CHAR:83","CHAR:84","CHAR:85","CHAR:86","CHAR:87","CHAR:88","CHAR:89","CHAR:90","CHAR:91","CHAR:92","CHAR:93","CHAR:94","CHAR:95","CHAR:96","CHAR:97","CHAR:98","CHAR:99","CHAR:100","CHAR:101","CHAR:102","CHAR:103","CHAR:104","CHAR:105","CHAR:106","CHAR:107","CHAR:108","CHAR:109","CHAR:110","CHAR:111","CHAR:112","CHAR:113","CHAR:114","CHAR:115","CHAR:116","CHAR:117","CHAR:118","CHAR:119","CHAR:120","CHAR:121","CHAR:122","CHAR:123","CHAR:124","CHAR:125","CHAR:126","CHAR:127","CHAR:128","CHAR:129","CHAR:130","CHAR:131","CHAR:132","CHAR:133","CHAR:134","CHAR:135","CHAR:136","CHAR:137","CHAR:138","CHAR:139","CHAR:140","CHAR:141","CHAR:142","CHAR:143","CHAR:144","CHAR:145","CHAR:146","CHAR:147","CHAR:148","CHAR:149","CHAR:150","CHAR:151","CHAR:152","CHAR:153","CHAR:154","CHAR:155","CHAR:156","CHAR:157","CHAR:158","CHAR:159","CHAR:160","CHAR:161","CHAR:162","CHAR:163","CHAR:164","CHAR:165","CHAR:166","CHAR:167","CHAR:168","CHAR:169","CHAR:170","CHAR:171","CHAR:172","CHAR:173","CHAR:174","CHAR:175","CHAR:176","CHAR:177","CHAR:178","CHAR:179","CHAR:180","CHAR:181","CHAR:182","CHAR:183","CHAR:184","CHAR:185","CHAR:186","CHAR:187","CHAR:188","CHAR:189","CHAR:190","CHAR:191","CHAR:192","CHAR:193","CHAR:194","CHAR:195","CHAR:196","CHAR:197","CHAR:198","CHAR:199","CHAR:200","CHAR:201","CHAR:202","CHAR:203","CHAR:204","CHAR:205","CHAR:206","CHAR:207","CHAR:208","CHAR:209","CHAR:210","CHAR:211","CHAR:212","CHAR:213","CHAR:214","CHAR:215","CHAR:216","CHAR:217","CHAR:218","CHAR:219","CHAR:220","CHAR:221","CHAR:222","CHAR:223","CHAR:224","CHAR:225","CHAR:226","CHAR:227","CHAR:228","CHAR:229","CHAR:230","CHAR:231","CHAR:232","CHAR:233","CHAR:234","CHAR:235","CHAR:236","CHAR:237","CHAR:238","CHAR:239","CHAR:240","CHAR:241","CHAR:242","CHAR:243","CHAR:244","CHAR:245","CHAR:246","CHAR:247","CHAR:248","CHAR:249","CHAR:250","CHAR:251","CHAR:252","CHAR:253","CHAR:254","CHAR:255","CHAR:256","CHAR:257","CHAR:258","CHAR:259","CHAR:260","CHAR:261","CHAR:262","CHAR:263","CHAR:264","CHAR:265","CHAR:266","CHAR:267","CHAR:268","CHAR:269","CHAR:270","CHAR:271","CHAR:272","CHAR:273","CHAR:274","CHAR:275","CHAR:276","CHAR:277","CHAR:278","CHAR:279","CHAR:280","CHAR:281","CHAR:282","CHAR:283","CHAR:284","CHAR:285","CHAR:286","CHAR:287","CHAR:288","CHAR:289","CHAR:290","CHAR:291","CHAR:292","CHAR:293","CHAR:294","CHAR:295","CHAR:296","CHAR:297","CHAR:298","CHAR:299","CHAR:300","CHAR:301","CHAR:302","CHAR:303","CHAR:304","CHAR:305","CHAR:306","CHAR:307","CHAR:308","CHAR:309","CHAR:310","CHAR:311","CHAR:312","CHAR:313","CHAR:314","CHAR:315","CHAR:316","CHAR:317","CHAR:318","CHAR:319","CHAR:320","CHAR:321","CHAR:322","CHAR:323","CHAR:324","CHAR:325","CHAR:326","CHAR:327","CHAR:328","CHAR:329","CHAR:330","CHAR:331","CHAR:332","CHAR:333","CHAR:334","CHAR:335","CHAR:336","CHAR:337","CHAR:338","CHAR:339","CHAR:340","CHAR:341","CHAR:342","CHAR:343","CHAR:344","CHAR:345","CHAR:346","CHAR:347","CHAR:348","CHAR:349","CHAR:350","CHAR:351","CHAR:352","CHAR:353","CHAR:354","CHAR:355","CHAR:356","CHAR:357","CHAR:358","CHAR:359","CHAR:360","CHAR:361","CHAR:362","CHAR:363","CHAR:364","CHAR:365","CHAR:366","CHAR:367","CHAR:368","CHAR:369","CHAR:370","CHAR:371","CHAR:372","CHAR:373","CHAR:374","CHAR:375","CHAR:376","CHAR:377","CHAR:378","CHAR:379","CHAR:380","CHAR:381","CHAR:382","CHAR:383","CHAR:384","CHAR:385","CHAR:386","CHAR:387","CHAR:388","CHAR:389","CHAR:390","CHAR:391","CHAR:392","CHAR:393","CHAR:394","CHAR:395","CHAR:396","CHAR:397","CHAR:398","CHAR:399","CHAR:400","CHAR:401"
"Monomachus","0","1","0","1","1","1","0","0","1","0","0","0","0","1","0","0","?","1","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","2","2","1","1","0","1","1","0","2","1","1","1","0","0","0","1","3","0","3","0","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1","0","1","1","-","-","0","-","1","1","1","2","0","1","1","0","1","0","0","2","1","0","1","0","0","1","0","0","1","1","0","1","1","0","0","1","0","1","1","0","1","0","0","0","-","2","0","1","0","0","1","1","1","2","0","0","1","1","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","1","1","1","2","0","0","0","0","1","0","2","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","-","1","0","1","0","0","1","1","1","1","1","1","0","1","1","0","0","0","1","1","1","0","1","0","0","2","0","0","1","-","-","0","0","1","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","1","0","1","0","0","1","1","0","0","0","0","1","0","1","1","2","1","1","1","0","0","-","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","-","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","1","0","1","1","0","0","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","1","1","1","2","1","1","0","0","1","1","0","1","-","0","0","0","-","-","-","-","-","-","1","0","0","0","0","1","0","1","-","0","1","0","0","0","0","1","1","1","1"
"Mymaromma","0","0","0","1","-","0","2","0","-","1","0","0","0","1","1","-","2","0","-","-","-","-","1","0","0","0","1","0","0","0","2","1","1","1","0","0","0","-","0","0","2","1","1","0","0","1","1","1","2","0","0","0","0","0","1","3","0","0","0","?","1","0","0","0","0","0","0","0","-","-","0","0","1","0","1","0","0","1","-","1","0","0","0","0","0","0","1","1","1","0","0","-","-","-","1","-","-","-","0","0","1","2","0","1","1","0","1","0","0","-","1","1","?","?","-","0","-","0","0","0","0","1","1","0","0","-","0","1","1","0","1","1","0","1","0","2","0","0","-","-","0","1","1","2","1","-","1","0","1","-","0","-","0","1","0","1","0","0","0","0","1","0","0","-","0","1","0","1","1","2","0","0","-","-","-","0","2","0","-","3","-","0","0","0","1","0","0","0","0","0","0","1","-","0","-","0","0","0","0","?","?","1","1","1","0","-","1","0","0","0","-","0","-","-","0","-","-","2","0","-","1","-","-","0","1","0","2","-","1","1","1","-","1","0","1","0","0","0","-","1","1","0","0","-","-","-","-","-","-","0","0","0","0","0","1","1","2","0","?","?","-","0","-","0","0","0","1","1","0","0","1","2","1","0","0","0","0","0","1","1","0","?","1","-","0","0","1","1","-","-","-","-","-","-","?","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","1","1","2","1","1","1","1","1","1","2","1","1","0","-","1","1","1","0","-","0","1","?","-","0","-","0","-","-","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Nasonia","0","1","0","1","1","0","0","0","1","0","0","0","1","1","0","0","1/2","0","-","-","1","1","1","0","0","0","1","0","0","0","0","1","1","1","0","?","?","0","0","0","3","0","1","0","1","1","0","2","1","1","1","0","0","0","1","3","0","3","0","0","1","1","1","1","1","0","0","0","1","0","1","0","1","0","1","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","-","-","2","0","1","0","1","2","0","1","1","0","1","0","0","1","0","0","0","-","1","1","0","0","1","1","0","1","1","0","0","1","0","1","1","0","1","0","1","0","-","2","0","1","0","0","0","1","1","2","1","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","1","2","0","1","0","0","1","0","2","0","-","3","-","0","0","0","1","1","0","0","0","0","0","1","-","1","0","1","0","1","1","1","0","1","1","1","0","1","1","0","0","0","-","1","1","1","1","0","-","2","0","0","1","-","-","0","0","1","0","0","0","0","1","1","-","-","0","1","0","0","-","1","1","1","1","1","1","0","1","2","0","0","0","0","1","0","1","1","0","0","1","1","0","0","-","0","1","1","0","0","0","0","1","2","1","0","1","0","0","0","1","0","1","0","0","0","1","0","-","-","-","-","-","-","-","-","?","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0","1","1","1","2","1","1","1","1","1","1","2","1","1","0","1","1","1","1","0","1","0","0","0","-","0","-","0","-","-","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","1","1"
"Notofenusa","0","0","0","1","0","0","1","0","1","0","1","0","0","0","-","0","?","0","-","1","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","-","0","1","-","0","0","0","0","0","0","1","0","0","1","0","0","-","-","-","0","-","0","0","0","0","1","2","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","0","0","-","1","1","0","0","-","1","0","0","1","0","0","0","1","0","1","0","0","0","-","-","0","0","0","0","0","1","?","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","-","-","2","-","1","1","0","1","1","0","0","0","0","0","0","-","1","0","0","0","0","0","?","?","1","0","0","0","1","1","0","1","1","0","1","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","-","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","1","1","-","0","0","-","0","1","0","0","0","0","0","0","1","-","-","-","0","0","0","-","-","0","0","0","0","0","0","-","-","-","-","-","-","2","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","2","1","0","0","0","1","1","2","1","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-","-","0","-"
"Onycholyda","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0","2","1","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","?","0","0","0","3","1","1","0","0","0","0","0","1","0","1","-","0","0","1","1","0","4","1","0","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","-","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-","-","-","0","-","0","0","0","1","1","2","0","1","0","0","1","0","0","2","0","0","1","0","0","0","0","0","1","1","0","1","0","0","-","1","1","0","0","-","1","0","0","1","0","0","0","1","0","1","0","0","0","-","-","0","0","0","0","0","0","-","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","-","3","-","1","0","0","0","1","0","0","0","0","0","0","-","1","0","0","1","0","1","0","-","0","0","0","0","1","1","0","1","1","0","1","1","0","0","1","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","-","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","-","0","0","0","0","-","0","0","0","1","-","-","-","0","0","0","-","-","0","0","0","0","0","0","0","0","1","0","0","0","1","-","1","0","1","1","1","1","1","1","0","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","-","0","0","0","0","0","0","0","-","0","0"
"Orthogonalys","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","2","1","1","1","1","1","1","2","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","1","3","1","1","0","0","1","0","2","1","0","1","1","0","0","1","3","1","3","0","0","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1","-","0","0","0","0","0","1","0","2","1","1","0","0","-","-","-","1","1","0","-","1","1","1","2","0","1","1","0","1","0","0","2","0","0","0","-","0","0","0","0","1","1","1","1","0","1","0","1","0","1","1","0","1","0","0","1","0","2","1","1","0","0","1","1","1","2","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","2","0","0","0","0","1","0","2","1","0","1","-","0","0","0","1","1","1","1","1","0","1","0","?","1","1","0","0","0","1","1","1","1","1","0","0","1","1","0","0","0","1","1","0","0","1","0","0","2","0","0","1","-","-","0","1","1","1","0","1","1","0","-","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","2","0","0","0","0","1","1","1","1","0","0","1","2","0","0","0","0","1","1","0","1","0","1","0","2","0","1","-","-","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","2","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","-","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","1","1","0","0","1","2","1","1","0","1","1","0","0","0","0","0","0","3","-","0","1","0","1","1","1","0","1","0","0","0/1","0","0","-","0","1","0","0","0","0","-","1","1","0"
"Orussobaius","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","-","0","1","1","1","2","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","1","1","1","0","0","1","0","2","1","1","-","-","0","0","1","3","1","3","0","-","1","1","1","1","1","1","0","0","0","?","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","1","0","0","1","-","-","0","0","1","1","1","2","1","1","1","0","1","0","0","2","0","1","0","-","0","0","0","0","1","1","1","1","0","0","1","1","0","1","1","1","1","0","0","1","0","2","0","0","-","-","1","1","1","2","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","-","-","1","2","0","0","0","1","0","0","2","0","-","2","-","0","0","0","0","0","1","1","1","0","0","0","-","1","0","0","1","0","1","1","1","1","1","0","0","1","1","0","1","0","1","0","-","-","1","0","0","1","1","1","0","1","0","1","0","1","0","0","1","1","0","1","1","0","1","0","0","1","0","0","-","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","0","0","-","0","0","1","0","0","0","0","0","1","0","1","-","-","-","0","0","0","-","-","0","0","0","0","0","1","-","-","-","-","-","-","?","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","-","-","?","?","-","-","-","-","-","-","-","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","1","1"
"Orussus","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","-","0","1","1","1","2","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","1","1","1","0","0","1","0","2","1","1","-","-","0","0","1","3","1","3","0","-","1","1","1","1","1","1","0","0","0","?","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","1","0","0","1","-","-","0","0","0","1","1","2","1","1","1","0","1","0","0","2","0","1","0","-","0","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","0","0","0","-","2","1","0","-","-","1","0","1","2","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","-","-","1","2","0","0","0","1","0","0","2","0","-","2","-","0","1","0","0","0","0","0","1","0","0","0","-","1","0","0","1","0","1","1","1","1","1","0","0","1","1","0","1","0","1","0","-","-","1","0","0","1","1","1","0","1","0","1","0","1","0","0","1","1","0","1","1","1","1","0","0","1","0","0","-","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","2","0","0","0","0","0","1","0","0","0","-","0","1","0","1","-","-","-","0","0","0","-","-","0","0","0","0","0","1","0","0","1","0","0","0","0","-","0","0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","-","0","1","1","1","1","0","0","-","1","0","0","1","1","0","1","0","0","1","-","0","0","0","1","0","0","1","1","0","0","0","0","0","0","2","1","0","1","0","0","1","2","1","1","0","1","1","1","0","0","0","0","0","0","-","0","-","0","-","-","1","0","0","0","0","0","0","0","-","0","1","0","0","0","0","0","0","1","1"
"Pantolytomyia","0","0","0","1","1","1","2","0","-","0","0","0","0","1","0","0","2","1","2","0","1","-","1","0","0","0","1","0","0","-","-","0","1","1","?","-","-","-","-","-","-","-","-","0","-","1","0","2","-","0","-","-","0","0","?","?","-","3","0","-","1","1","1","1","1","1","0","0","?","1","-","-","1","0","0","0","1","0","1","0","0","0","0","0","0","0","2","0","1","1","1","0","0","1","-","-","0","0","1","1","1","2","0","1","-","0","0","-","0","2","1","0","0","-","1","1","0","0","1","1","0","1","1","0","0","1","0","1","1","0","1","1","0","1","0","2","0","1","0","0","1","1","1","2","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","2","0","0","0","0","1","0","2","0","-","3","-","0","0","1","1","0","0","0","1","0","0","1","-","1","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","-","-","1","1","0","1","0","0","2","0","0","1","-","-","1","1","-","0","0","0","1","0","1","1","0","1","-","0","0","-","1","0","0","0","-","-","-","-","-","0","0","0","0","1","0","1","1","2","1","1","2","0","1","0","0","0","1","1","1","0","1","1","2","1","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","-","-","-","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","1","0","1","2","1","1","1","1","1","1","2","1","1","0","1","1","1","1","0","-","0","0","0","-","-","-","-","-","-","-","0/1","0","0","0","1","0","1","-","0","1","0","0","0","0","1","1","1","1"
"Parnips","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","0","1/2","0","-","0","1","1","?","?","?","?","-","-","-","-","-","?","?","?","?","?","?","-","-","-","3","1","0","0","-","1","0","-","-","1","-","-","0","0","1","3","0","3","0","-","0","1","1","1","1","1","0","0","?","0","0","1","1","-","1","-","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","-","-","-","1","0","0","-","1","1","1","2","0","1","1","0","1","0","1","2","0","0","0","-","0","0","0","0","0","1","1","1","1","1","-","1","0","1","1","-","1","1","0","1","0","1","1","1","1","0","1","1","1","2","0","1","1","0","0","1","0","-","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","2","0","0","0","0","1","0","2","0","1","0","1","0","1","1","1","0","1","1","1","0","0","0","-","0","-","0","0","0","1","1","1","1","1","1","0","1","1","1","0","-","0","1","0","1","1","0","0","2","1","0","1","-","-","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","-","1","1","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","2","1","1","1","0","0","-","0","0","1","1","1","0","0","0","2","1","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","-","-","-","-","-","-","2","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","1","1","1","2","1","1","1","1","1","1","2","1","1","0","1","1","1","0","1","0","0","0","0","-","0","-","0","-","-","0","0","0","0","0","1","0","1","-","0","1","0","0","0","0","1","1","1","1"
"Pelecinus","0","1","0","1","1","0","1","0","1","0","0","0","1","1","1","0","2","1","0","1","1","-","1","0","0","0","1","0","0","0","2","0","0","0","0","0","1","1","0","2","2","1","1","0","0","1","0","2","1","0","1","0","0","1","1","3","0","3","0","0","1","1","1","1","1","1","0","0","?","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","2","1","2","0","-","-","-","1","0","0","-","1","1","1","2","0","1","1","0","1","0","0","2","1","0","0","-","0","0","0","0","1","1","0","1","1","0","0","-","0","1","1","0","1","0","0","1","1","2","1","1","1","1","1","1","1","2","0","1","1","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","1","1","1","2","0","0","0","0","0","0","2","0","1","1","-","0","1","0","1","1","0","0","1","0","0","1","-","1","0","0","0","0","0","?","?","1","1","1","0","-","1","0","0","0","1","1","1","0","1","0","0","2","0","0","1","-","-","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","2","1","1","2","0","0","0","0","0","1","0","1","0","0","0","2","1","0","0","0","1","0","1","1","1","0","1","0","0","0","1","0","1","1","0","0","0","0","2","1","1","0","1","0","0","0","1","0","0","2","-","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","-","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","1","1","1","2","1","1","1","0","1","1","0","1","-","0","0","0","-","0","-","0","-","-","-","0","0","0","0","1","0","1","-","0","1","0","0","0","0","1","1","1","1"
"Periclistus","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","-","0","1","-","1","6","0","1","1","0","0","1","2","2","0","0","0","0","1","1","0","0","3","1","0","0","1","1","0","2","1","1","1","1","0","0","1","3","0","3","0","1","0","1","1","1","1","1","0","0","1","0","0","1","1","1","1","-","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","-","-","-","1","0","0","-","1","1","1","2","0","1","1","0","1","0","1","2","0","0","1","0","0","0","0","0","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","1","0","2","1","1","1","0","1","1","1","2","0","1","1","0","0","1","0","-","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","2","0","0","0","0","1","0","2","0","1","1","-","0","0","1","1","0","1","1","1","0","0","0","-","0","-","0","0","0","1","1","0","1","1","1","0","1","1","1","0","-","0","0","-","1","1","0","-","2","1","0","1","-","-","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","-","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","2","1","1","1","0","0","-","0","0","1","0","1","0","0","0","2","1","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","-","-","-","-","-","-","2","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","1","1","1","2","1","1","1","1","1","1","2","1","1","0","1","1","1","0","1","0","0","0","0","-","0","1","0","1","1","0","0","0","0","0","1","0","1","-","0","1","0","0","0","0","1","-","0","1"
"Pimpla","0","1","0","1","1","-","0","0","-","0","0","0","0","1","?","-","?","1","0","-","-","-","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","-","-","-","0","0","1","1","1","1","1","2","0","1","1","0","1","0","0","2","1","0","0","-","1","1","0","0","1","1","0","1","1","0","0","1","0","1","1","0","1","0","0","1","1","2","0","0","-","-","0","1","0","-","-","1","1","0","0","0","1","?","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","1","2","0","0","0","0","0","0","2","0","1","0","0","0","1","0","1","1","1","1","0","0","0","0","-","1","0","0","0","0","1","1","1","1","1","1","0","1","1","0","0","0","1","1","0","0","1","0","0","2","0","0","1","-","-","1","1","1","0","0","0","2","1","0","1","0","0","0","0","1","0","1","0","1","0","1","0","0","1","1","0","0","0","0","1","0","1","1","2","0","1","2","0","0","-","0","0","0","1","0","0","0","0","2","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","-","-","-","-","-","-","2","?","-","?","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","?","?","-","-","-","?","?","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","1","0","0","0","2","1","1","1","0/1","0","1","2","1","1","0","1","1","0","0","0","0","0","0","0","-","0","-","0","-","-","1","1","0","1","1","0","1","?","1","0","1","0","0","1","0","1","1","1","0"
